2016-10-17T00:38:17.989+0300 I CONTROL  [main] ***** SERVER RESTARTED *****
2016-10-17T00:38:18.093+0300 I CONTROL  [initandlisten] MongoDB starting : pid=65767 port=27017 dbpath=/Users/Stegges/GoProjects/AnChatBot/./data/db/ 64-bit host=stegges.local
2016-10-17T00:38:18.093+0300 I CONTROL  [initandlisten] db version v3.2.10
2016-10-17T00:38:18.093+0300 I CONTROL  [initandlisten] git version: 79d9b3ab5ce20f51c272b4411202710a082d0317
2016-10-17T00:38:18.093+0300 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2j  26 Sep 2016
2016-10-17T00:38:18.093+0300 I CONTROL  [initandlisten] allocator: system
2016-10-17T00:38:18.093+0300 I CONTROL  [initandlisten] modules: none
2016-10-17T00:38:18.093+0300 I CONTROL  [initandlisten] build environment:
2016-10-17T00:38:18.093+0300 I CONTROL  [initandlisten]     distarch: x86_64
2016-10-17T00:38:18.093+0300 I CONTROL  [initandlisten]     target_arch: x86_64
2016-10-17T00:38:18.093+0300 I CONTROL  [initandlisten] options: { config: "./mongod.conf", processManagement: { fork: true }, storage: { dbPath: "./data/db/", journal: { enabled: true } }, systemLog: { destination: "file", logAppend: true, path: "./data/mongod.log" } }
2016-10-17T00:38:18.095+0300 I -        [initandlisten] Detected data files in /Users/Stegges/GoProjects/AnChatBot/./data/db/ created by the 'wiredTiger' storage engine, so setting the active storage engine to 'wiredTiger'.
2016-10-17T00:38:18.095+0300 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=1G,session_max=20000,eviction=(threads_max=4),config_base=false,statistics=(fast),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),checkpoint=(wait=60,log_size=2GB),statistics_log=(wait=0),
2016-10-17T00:38:21.073+0300 I CONTROL  [initandlisten] 
2016-10-17T00:38:21.073+0300 I CONTROL  [initandlisten] ** WARNING: soft rlimits too low. Number of files is 256, should be at least 1000
2016-10-17T00:38:21.101+0300 I NETWORK  [HostnameCanonicalizationWorker] Starting hostname canonicalization worker
2016-10-17T00:38:21.101+0300 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/Users/Stegges/GoProjects/AnChatBot/./data/db/diagnostic.data'
2016-10-17T00:38:21.107+0300 I NETWORK  [initandlisten] waiting for connections on port 27017
2016-10-17T00:53:29.432+0300 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain name info for: [ (2620:9b::191d:c108, "nodename nor servname provided, or not known"), (2620:9b::191d:c108, "nodename nor servname provided, or not known"), (25.29.193.8, "nodename nor servname provided, or not known"), (25.29.193.8, "nodename nor servname provided, or not known"), (192.168.10.2, "nodename nor servname provided, or not known"), (192.168.10.2, "nodename nor servname provided, or not known") ]
2016-10-17T01:08:37.535+0300 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain name info for: [ (2620:9b::191d:c108, "nodename nor servname provided, or not known"), (2620:9b::191d:c108, "nodename nor servname provided, or not known"), (25.29.193.8, "nodename nor servname provided, or not known"), (25.29.193.8, "nodename nor servname provided, or not known"), (192.168.10.2, "nodename nor servname provided, or not known"), (192.168.10.2, "nodename nor servname provided, or not known") ]
2016-10-17T01:23:44.716+0300 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain name info for: [ (2620:9b::191d:c108, "nodename nor servname provided, or not known"), (2620:9b::191d:c108, "nodename nor servname provided, or not known"), (25.29.193.8, "nodename nor servname provided, or not known"), (25.29.193.8, "nodename nor servname provided, or not known"), (192.168.10.2, "nodename nor servname provided, or not known"), (192.168.10.2, "nodename nor servname provided, or not known") ]
2016-10-17T02:37:52.674+0300 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain address information for hostname stegges.local: nodename nor servname provided, or not known
2016-10-17T10:25:33.543+0300 I COMMAND  [PeriodicTaskRunner] task: DBConnectionPool-cleaner took: 147ms
2016-10-17T10:36:49.178+0300 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain name info for: [ (2620:9b::191d:c108, "nodename nor servname provided, or not known"), (2620:9b::191d:c108, "nodename nor servname provided, or not known"), (25.29.193.8, "nodename nor servname provided, or not known"), (25.29.193.8, "nodename nor servname provided, or not known"), (192.168.10.2, "nodename nor servname provided, or not known"), (192.168.10.2, "nodename nor servname provided, or not known") ]
